comments,tone
To kya krna ho ga koi alag btaa day plz,Neutral
Hahahahah......Saobia! funny!!,Neutral
Hum teri ankhain kitni sonee hainn,Positive
Kya kam hai w/o?,Neutral
"mjhe tw yeh bohat hi ziada acha hai , price iski bohat kam hai lekin is mein koi kharabi nahi hai.. led bright hai aur time b sahi ata hai is mein.. doosri bat yeh hai k yeh pehenne mein comfortable hai, iska rubber bohat soft hai. kafi stylish lagta hai mjhe tw.. khush hoon main is se",Positive
zra si b nahi,Neutral
Hahaha da last one koray wala epi,Neutral
 Jahangir Khan key khelaf kamyabi ka iss sey behter record aur kisi khelari ka nahin,Positive
Ye kaisa maZak Thaa waisay,Neutral
Dono choor saly,Negative
Lannat ha har os dost peh jo eid k din b ap ko time na dai apna,Positive
 Un ke kuch kherati kaam to duniya bhar ne dekhen hain,Neutral
Meri london tou kya Pakistan mai koi property nahi,Neutral
Donon Janib Se Barf Pigli Hai Pakistan Wapasi k lye 3 Sharait Hakomat ko bheja hon ,Negative
White Shirt Red Trouser Or Blue Chappal Pehni Hui Hai ,Neutral
TUJAY SOTAY MEIN BE SHARIF BROTHRON NAZAR AATAY HEN PAGAL HO HOA HAY,Negative
 Ab kisi ko hairat nahein thi ab sab log mutfiq ho chuke they ke Hashim Khan hi asli champion hai yahein sey iss kahani ka agaz hota hai Khan family Squash ki dunia mein aie aur cha gaie,Positive
Saddar Or Aitraf Se Trafic Police Ne Road Per Khari Darjano Garian Utha Leen ,Negative
 31 May 1988 ko General Zaiaul Haque ki taraf say subai assembly ki barkhs tagi kay bad Mian Nawaz Sharif ko Punjab ka nigran Wazir aala namzad keya geya Janab Nawaz Sharif 1988 kay intaykahbat mein dobarah wazeer-e-Alla muntakhib huye unki iss muddat mein Mari aur Kahota mein zabardast taraqi hui,Neutral
Had hai,Negative
Moh Amir na jasa ya match jeetwahia hai aus jo mistak ki thi shaid huma ausa maaf kar dana chaia ab,Positive
Cheel,Neutral
 Magar yeh actor apne maddahon ke dilon mien aur apni films mien hamesha zinda rahega,Positive
when soon will come about certification of this news,Neutral
Mian sahib don't worry you'll come back.,Neutral
 1 Junuary 1998 ko Janab Justice Muhammad Rafiq Tarar bila akhir Pakistan ke Sadar ban gaye,Neutral
Miyan Mohammad Bakhash Lahore ke mashor tajir the aur Inayat Hussain Bhatti ke qarebi dost bhi the,Neutral
Allah pak lambi umar dy,Positive
Choor and Mafia Rules Pakistan,Neutral
haha same tbiii me auntyyy sy itna krti,Neutral
Wahan per Samad aur Hashir sahibaan poori raat robot banatay rahay.,Neutral
up gradation must be with out conditions,Neutral
Kya biwi se aesi dosti hai ke aap un se sab kuch share kar saken ?,Neutral
aik programmer k jazbaat ko thais pohnchi...! :P,Neutral
Mra koi bf hi ni ,Neutral
Oh my god sahi raaste pe chal rahe ho 🤣🤣,Positive
Respect for him.,Neutral
😍😍😍,Neutral
" Punjab University se English, Urdu, Arabic aur Persian mein honors kiya",Neutral
replcamene of Mitchell...is ther any other bowler?,Neutral
Essi ayat mein ik aur ATAAA ka bi hukam hai,Neutral
Jo in ke 2 bachon ki Maa bhi hain  lekin 2012 mein in se bhi alehdgi ho gai  agle he saal Depp ne actress Amber Heard se mangni kar li  jo tahaal barqarar hai,Neutral
Zamane ki rawish ne ise Karachi bana diya,Neutral
apni amma ko dekha dna ya mri trf se 😂,Neutral
Quetta khan,Neutral
Emma Watson 5 baras ki umer tak apne waldain ke darmiyan alehdgi tak Paris he mein rahi,Negative
Maa shaa ALLAH tasbih khane ky wazif lajawb ha.,Positive
Is ke elawa bhi unhon ne tv ke sath sath Pakistani filmon mein apni adakari ke johar dikhaye,Positive
Apne career ke mustaqbil ka faisla wo taleem mukammal hone ke bad he karega,Positive
phir to poora pakistan zaalim hua.,Negative
Mashaallah.,Positive
Dir Wahab Abasi Ki Zamanat Mansukh Hone Pr Chekh o Pukar ,Negative
Magar is hadse ne mere dil o dimagh mein aik shaded taghaiyour paida kar deya hai.,Negative
"Yaar me ny pehly b kha k jinhon ny formalities complete ki hen baqaida interview, test or jaiz tareeqy sy aaey hen hmen un pr koi aitraz nahi hm ye sifarshi or na ehal logon ki baat kr rhy hen. Me Ppp daur k kuch logon ko janta hoon jo k intahaee nikammy hen lekin achi poston pr hen or un ulloo k pathon ka kaam hmen krna parta he.q k unhen to kuch nahi aata ya phir wo sifarish kerwa kr ghar baithy salary lety hen or kaam ka boajh hm pr prta he.",Positive
"Apni zati company film arts ke bainer taley 1966 mein Waheed Murad nay ""Arman"" banae iss ki kahani unhon ne khud shochi thi Hero bhi khud they aur produser bhi, director un ke dost Parvaiz Malik they Nagma nigar Masroor Anwar aur mosiqar Sohail Rana aur yahi charon film arts nami company key buyadi satoon they",Neutral
lidr bi koi hatmy naboot ka gadaar koi islm ka gadar pmln wala pti ko jahil bol rha pti wala pmln walo ko ,Negative
Subhan Allah Kia bat he mere Mola mere Rab ki Rahimi or Kareemi ki,Positive
 jahan tak athletics ki baat hai to is mein donon ko aik hi tarah ke masail aur mushkilat darpesh hain,Neutral
Jany do Ye word #Dhandli na lena dobara khan ko phir yad ajai ga ,Negative
Terrific*,Neutral
jab bh bolna kachra hi ugalna :),Negative
Hahahhaha nai nai bachi py focus kro bs,Negative
sari ghalati e uncle auntie ki hai..haha 😂😂😂,Negative
Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,Positive
"Aglay din aakhir kaar classes, aik adad halo meray sath・naam ka play (jis main pehle terrorists ne firing ki, phir army ne firing ki, phir speakers main se firing ki awaz ai), aik adad motivational speaker (jo aglay 10 saal main aap apnay aap ko kaisa dekhtay hain janna chahtay thay ・jawab tha zindah), do adad breakdancing k naam per popping karnay walay (jin main se aik janab phir se agye thay) aur dhair sari langri.",Negative
Grp mein kraan jo faido ee naee satsanganyunnn ni uty byun sb panr khn ilwa,Negative
Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive
bilkul bekar kapra hai,Negative
Mary buchoo k li dua karny ap ko 2 dafa litter laka ap ka koi ans ni hia ubqari ko monthli red karti huno,Positive
Tera wo idhar koii nhii hy insaan ka bachaa,Neutral
haahhahahahahahaah tera b yehi hal he,Positive
Shop kahan hai?,Neutral
KInza tu zeher lgi sj mjhy,Negative
dhoondh doou koii 😂😂,Neutral
USA Kai Ryasato Me Shadeed Baraf Bari K Record Toot Gaye,Neutral
 6 November 1990 ko Nawaz Sharif nay Wazeer-e-Azam ki haisiyat say halaf uthaya,Negative
Das mint hain abi 😉😉,Neutral
PM Nawaz Sharif Se Molana Fazl ur Rahman Ki Mulaqat Muzakrat Se Mutalliq Agah Kia Wazir e Azam Ne Salisi Kirdar Ko Saraha ,Negative
Kuray awLaaa…,Neutral
jes election my insani jan ko hatra ho un say Allah hsmy ba6ay,Negative
Doob maro phr,Negative
uff yeh apki paakbaaz soch :'),Positive
 Wo Amritsar aur UP bhi gae aur wahan tehreek e azaadi hind ki tarjumaani ka haq adaa kiya,Positive
hum to kabi nahi krty😝,Neutral
Razia Sheer Khan: Mustaqbil ki taiyariyan quomi team ki numaindagi aur international satah ke leye markoz kar rahi hun,Neutral
R end py ye statement dy k khtm krty thy..chalò hamien kiya..koi jo mrzi kry😅,Neutral
Sir bokare ku kahty ja kar  ap ny humy kya parhaya ,Negative
meri nh teri thi aesi😜😜,Neutral
Wah....final dekhenge in sha ALLAH,Neutral
Orangi 10 Me Firing Babar Ice Cream Wala Qatal  ,Negative
Minahill,Neutral
>java programmer kia karay? :( pointer kahan se allocate kre :(,Neutral
Yar wo jo start may left wali BANDI hay na BARI KAMAL hay CUTE,Positive
Lehaza sab se achi tip to yehi hai ke husool aulaad ke khuwahishmand hon aur bachon ki parwarish se lutf uthae.,Positive
Haha,Neutral
mein 1991 mein Australia  kay khalaf kheltay huye 132 runs raha,Neutral
*HAHAHA* em alwaayss readyy😂🤭🤭,Neutral
asi video ko share nahi karty,Neutral
CM House Me Ijlaas ,Neutral
1972 mein Asma Jahangir ka nam mulk ger shohrat hasil ker gea keonkey iss waqt un key walid Malik Ghulam Jilani ke hibse beaja key khelaf un ki patishion par faisla detey huae Supreem court ney Chief Marshallah Aid Ministrater Jeneral Yehya Khan ko ・Ghasib・qarar dea tha Pakistan ki tarekh aur qanoon ki ketabon mein moqadma ・Asma Jilani case・key nam sey mashhoor hua.,Positive
Bnd kro kutty ka channel,Negative
Sambhal Kay of Verna. Hats off Shoaib Mansoor. But ye New York s phatt phata k aie MahiraKhan ko dalne ki kya zarort thi. Move on.,Negative
"ab to m nh rha, she supports Zalimi Peshawar",Neutral
Aho ab dakhty hain kon kholta ha neya katta,Neutral
 App ki walda ka naam Aysha Bibi tha jo aik neak aur mutaqi khatoon thein,Positive
hahahha teacher never mantey their mistakes tbh XD,Negative
hamaray aj 26 ramzan hain aj ki raat ko kia parhna hai pls bata dain,Neutral
Doston ko Bhe Daawat Den ,Positive
 Allah bohat kamyabi dein geinAp salamat rahein jeainn khush raheinn. ,Positive
Hahaha,Neutral
behtareen watch,Positive
Saanwli si aik ladki jis ka mardon jaisa naam   Bhej rahi hai mujh ko apni chahat ke paigham& Beshtar waqifan e haal ka kehna hai ke yeh shair Iqbal Bano he ke barey mein tha,Negative
good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,Positive
1914 Japan Ne Germany K Sath Jang Ka Elan kardia Jo World War 1 Bani ,Negative
not only sahir sary morning show band kare jain,Negative
tehreek-e-Insaf kay sarbarah Pakistan cricket team  kay liye 1971 say 1992 tak khaltay rahay,Neutral
KasHhhh,Neutral
Marks b phr waise he diey Hain mainy ,Neutral
2010 mein jab un ke darmiyan bohat doriyan thein tab Katrina ne man liya ke mazi mein wo aur Salman aik dosre ki mohabat mein giraftar the,Neutral
Get Well Soon.......,Neutral
aur bhi kuch bata dain chand raat k liya,Positive
Kia krain,Neutral
Zahir hai :D,Neutral
my 2 ganty fax karta raha .ya to fax off the .aghr on the to busy the .sir bari moshkisl ay hum fee pay karty hy .750 eske fee hy .ap plz es masly kaa hall bata day .,Negative
Fauji General Altaf Sy Dartay Hain ,Negative
Abi to party shuro hoye h,Neutral
Hazrat g mere liye Khas dua,Positive
Mre papers hy 21 June se plz Koe wazifa bta dy ur dua krye ga,Neutral
Lanat musharf per,Negative
Roz Aik Cheez Ko Nazar Andaz Krty Hain ,Negative
Please anxiety k treatment k lye koi wazifa bta dein. Please.,Neutral
Like us,Neutral
Me Female Receptionist ki Zaroorat hai ,Neutral
hahahahaha....... Hun anj di v gaal nia reh gyi,Neutral
..inko check kronzra,Negative
Jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,Positive
Imran Ali Afia ka mamu ka interview sun lo.,Neutral
Jitna dykhu km hy,Positive
 tusi kro sui asiii daiye ty UII AMMI G UUI,Neutral
Poor imran chanday se rah gaya.garbage collector nation,Negative
Koi aisa bnda hai jo peer sab k mukammal adress aur mulaqat kerwa saky.... me 1 saal se mulaqaat k shoq me hoon lakin koi guide line nhi mil rahi....its my contect...0300.7722017.... plzz,Positive
Hayyee mai mar jawa :p,Neutral
Astrgfriullah Muslim ho e nhi skta ye lanti shaks Allah ny Apny Ghar ki Hifazat khud lie h,Negative
Asaasu Ki Tafseelat Talub Rpt M Ali Jokhio ,Neutral
acha Same hero aur Heroine hai New kese,Neutral
You*,Neutral
Video bht ala h yar …,Positive
Bilkul,Neutral
" Inho ne tasleem kiya ke baller chahe spinner ho ya fast, six to zaroor parhte hain,",Neutral
ham sab k liy dua,Positive
Kal q nahi hohi,Neutral
Ye saal un ki zindagi ka sunheri saal sabit howa,Positive
Behenji you are versatile actor,Neutral
Hashim Khan ke abao ajdad qabaili they jo baad mein Khaiber pas aker rahne lage,Neutral
Kashmer klye to kch bola mh ye,Neutral
Chha gya mery cheetah,Positive
wrong size.bekaar,Negative
Right,Neutral
Mir Ghazanfar Ali Khan Ne Governor Gilgit K Ohday Ka Halaf Utha Lia Wazir e Azam Ki Amad Per Sarken Band Schools K Parchay Mutasir,Negative
wase b azaan ab ho ri hai :/,Positive
               ,Neutral
ihy tha ghurayun..,Neutral
Thankyou  aunty and jalil uncle... 😁,Neutral
hmari story ,Neutral
Apko b bht bht mubrik hoa sister,Positive
NS a stingy ldrship.10% his fixed formula since he remained in power. AZ enhanced 100% risk allowance n still ppl praying for him.,Neutral
Ibtedai chand saal us ne mayosi aur tariki mein guzare.,Negative
Kursi ke chakkar mai dharnay karta raha yeh kiya mila ussey mulq ko ? Barbadi bss .,Negative
Al Ya qubi ne pehli martaba tareekh ko adwaar mein taqseem kiya hai,Neutral
Logun k dil badalny k lye inka eik jumla kafi hi.,Positive
Aaaallaaaa,Neutral
1980 se 1985 tak PPP sooba-e-Punjab ke talbah aur amoor-e-nau jawan ke incharge rahe,Neutral
In week,Neutral
1983 mein inhe film fare best Telugu actress ka award aur 2007 mein film fare life time achievement award se nawaza gaya,Neutral
Itny ghtiya quality ky trouser nhi dakhy pehly din he slai nikal gyee very disappointed ????,Negative
Injection lgwa lain ,Neutral
Sach mein ,Neutral
Terrific..! Huma Jaan lay g Kea Ab...!,Positive
Meri begum ka khandan Akbari Darwazay ke pas rehta hai.,Neutral
Chalo choro ,Neutral
Still u r my buddy 😘,Positive
Hyd m kaha se milengey himani k yh all products? Dawood market m ap k bht kam or wohi puraney products h.,Neutral
khamoosh warna tm bhi is fitny sy bach na pao gy 😂,Negative
Allah pak apki madad kray Ameen,Positive
Mera b pegam e shukrya anti ko dy djye ga :D,Neutral
Qasm sy kuch nae prhaya,Negative
Inho ne apni ibtedai taleem Neuter dam Academy aur Lincoln High School se mukammal ki,Neutral
Haha. Thts funny... Midnight cravings :D,Neutral
Shayad yeh in ka roab husun he tha ke jis ne in ki adaaon mein bhi aik tamaknat si paida kar di thi,Negative
Molvi Abdul Haq Sir syed ke maktab e fikar se taluq rakhte the,Neutral
 Jise ijlaas ke shurkaa ne kasrat raaey se manzoor kiya tha,Positive
 Nahi kabhi nahi.,Positive
ye harkt Girlz hi kr skti hy marne waali,Negative
Wasim Akram pukhta iradon ke malik hain,Positive
WH Tax Aaeen K Article 77 K Khilaf Hai Darkhuast Guzar ,Negative
Matric Middle Pas workers ki Zarorat hai,Neutral
Jis ka aik song is qadar maqbool hua tha ke is ke bolon ki bazagisht aaj bhi suni ja sakti hai,Positive
Is sort e haal mein Intikhab Alam Imran Khan ke sath khare rahe,Positive
Hahahah drijh naa maan gad aan tosaan,Neutral
"Behar kaif field mein in ki maujodgi in ke sathiyon ke liye hamesha taqwiyat ka baiys hoti hai,",Positive
Hahahkah bht e achy sy,Neutral
Main is hawale se 2 films bana rahi hon.,Neutral
offensive for the guy who works on EXcel :D Lolz :D,Positive
Allah hm sbke gunaho ko maaf farmaye.. ,Positive
2004 mein inho ne dobara sadarti intekhab mein kamiyabi hasil ki.,Positive
Happy meal ka Khali dabba,Negative
sb se ziada shugli glasses mei white shalwar qameez wala he,Positive
ap bht bht bht hasen ho,Positive
Yeh rasam o riwaaj ke zindaa n mein muqayyad Iqbal Bano ki madhur awaaz ke liye aik chota sa daricha sabit hua,Neutral
Television ke nazreen mien wo actor ke sath sath bataur meyzban bhi boat maqbool the,Positive
Azeem Pakistani qawwal  mauseeqar aur Singer Nusrat Fateh Ali Khan 13 October 1948 ke roz Faisalabad mein peyda hue,Neutral
"Product theek hay.
but not worth that much price.",Negative
hahahha bht pehni h is ki shirts hm n :D,Neutral
smal m.ek dress chahy,Neutral
Woh kya sikhaata aur?,Neutral
Inho ne 1995 mein sirf 20 baras ki umar mein he one dau ben ul aqwami matches aur test matches ka apna khata khol liya tha,Positive
aao judge judge khailain,Neutral
Meri shadi k leyin duaa krin naik or achi waif atta frmay Rab e Kareem ameen jo,Positive
Mature hora h launda,Neutral
" Saghar Siddiqui ki Shakhsiyat Fan aur Kalam, Shekast e Saghar",Neutral
Zameen k neeche sakoon sey rehtay hain ,Positive
Han my kal Google map deka Karachi .. Lahore ki jaga py agya hil ky ,Neutral
islamic comments plz no munafqat,Neutral
iss waqae ney Jhangir Khan ki nafsiat par ghara aser dala unhon ney shabana roz terbiat aur sakht mehnet ka silsila shuru ker dea aur apney kazen Rehmat Khan ki cotching mein aisey khelari baney key sirf 17 sal ki umer mein unhon ney Australia key Jeef HFunt ko shikasht dea ker world open jeet lea,Positive
Allah hum sub per apna rehum or karam kerain ameen sum ameen,Positive
 Tahum is doran Colombia ne 18 December 2006 ko elan kiya ke wo bhi muqabalon ke ineqad ke leye bator umeedwar is muqabale mein dakhil ho raha hai,Positive
 Jang Azeem ke khatme per app reha huye 1946 ke amm intekhabat mein Mutthida Hindustan ki markazi dastoor saz Assembly mein rukun muntakhib huye baad mein Pakistan ki dastoor saz Assembly ke rukun rahe,Neutral
buht achi bat kahi he,Positive
new movies dak na chala,Neutral
Hafsa wo jb in between classes discussions hoti theen hamari 😂,Neutral
Yun 1976 mein yeh film release hui,Neutral
Kamal hai yarrrr,Positive
apne dukh se pyar karna duniya ka dastor he ,Negative
 Jab us ke ghar beti ne janam liya to us ne apni is beti ka naam bohat piyar se Malale ke naam par Malala rakha,Positive
Yeh cheez abhi tak mujhe milli he nahi hai is ki jaga pe kuch aur he bejh dia hai aap logon ne jo mne return kia hai par us bhi pta nhi koi contact nhi ho pa raha thnx,Negative
Mulk ko loot k it hmarey taxes se yehe krsktey ye log ub ghareeb awam ko to taraqi deney se rhe..,Negative
yaha to direct teacher ko hi tag kardo ,Neutral
this is what happening with me right now ,Neutral
bhai main to screen shot ly k crop kr laita hu hehehe,Neutral
Ary wah u pamist,Positive
     ,Neutral
Alhaye marhu ta chitta laga paya aahinKhair aa sutho na hundo stuff ta kam wari khy deye wathandasu ,Neutral
bus tumari kia he bat ha,Positive
" Khuraak ke mauaamle mein Soshi meri pasandeeda dish hai, lekin mujhe pizza bhi bohat pasand hai.",Positive
Ameenn..ALLAH zuban mubarak kre,Positive
Me phir b tumko chahunga,Positive
ki cococola ab bh due hy 😂,Neutral
ab aunty dekh rahee hogi taraaaakkiii after flooding ,Negative
Steven ke susar aik Aikido academy mein head instructor the,Neutral
She married with She started her career as a child star in children music show “ Kalbon Ki Mala ” from PTV channel,Neutral
Is show ko ban ki jaaye .,Negative
Ap noon league hain na ,Negative
Doston ko Bhe Daawat Den ,Positive
ap ko b boht boht eid mubarik,Positive
Karachi mien akhiri 20 baras unhon ne apne kuch shagird paida kiye lekin ziyadah tar waqat gosha nashini mein apni ullad ke sath ghuzara,Neutral
Kuch bhi nahi pata bus uski personality pasand hai tumhay jiski waja sey itni mari ja rahi ho .,Negative
Dar asal in k parents bhi nachney ganey waley he hongay warna shareef log apni izat ka tamasha nah lagatey,Negative
"Main aksar apne beton se kehti hon ke tum in ki yani Imran ki tarah baat karte ho, in ke jaisa libaas pehante ho to in jaisa insaan banne ki bhi koshish karo.",Positive
"Actress Nirma ne chand aik drama serials mien kaam kiya, magar is ke gher zimmedarana rawaiyye ki wajah se cut kar ke mutabadil actresses ko le liya gaya tha",Negative
allah ap ko lambi zindgi dy ameen,Positive
Yehin unhe yeh khayal aya ke angrezi ke cheda cheda adab paron ko Urdu ke qalib mein dhalna chahiye,Positive
Yeh qiyam e Pakistan se pehle ka zamana tha,Neutral
nikaall,Neutral
Muhabt tm se nafrat hy,Neutral
Hahaha.... Esa hi le lein ga,Neutral
Chines engineers k kellaf strickly action hona cheye.,Neutral
Oh han sach pohnch gai main wahan,Neutral
Timeee nahi hotaaaaaa,Neutral
 1973 mien jab ke Farooq law college he mien zer e taleem the,Neutral
Aaj bhi nahin aaya ...jhota channel ary...manhos game show hi chalta raha...bakwas tereen fahad mustafa or us ka ghatya show.  ,Negative
Yeh agar in logo ko samajh aaye to bahter rahega,Neutral
Mashallah,Neutral
In dono k baray me bataney wale ko masseha kahaty he Taby Gul,Neutral
Haiseat Say Half Utha Liya ,Positive
Conse colr may chaiye,Neutral
Naya trouser,Neutral
Ji kya ? ,Neutral
Umer khair to ha....??,Neutral
Bc idea de rha,Negative
Yr pora tabar hi choor ha ye tu m n samgha kh nawaz or chota dawn hi crupt han,Positive
"Shahid ki aamad aik toofan sabit hui, kyun ke Nairobi ground par Kenya ke khilaaf 3rd number par bating karte huie in naujawan ne 37 balls par century bana kar aalmi record torh dala tha",Positive
Afghanistan ke sabiq badshah Zahir Shah bhi in ki singing ke maddah the,Neutral
No never jhot he,Neutral
Psl 4 maim done,Neutral
Apki pic dekhkar mai sab bhul jati hu,Positive
"hahahahaah, end kamal ka tha.. :V (Y) (Y)",Positive
Shah Faisal Colony Me Police Muqabla 3 Mulziman Giriftar ,Negative
Yeh tajurba kamiyab raha aur in ki films mini screen par pasand ki jane lagi,Positive
Kafi comfortable hai pehnnay mein aur black color honay ki wajha sey ye har cheez par chal jati hai. Main islye aksar ye hoodie pehnta hun liken shukar hai fitting waghera sub theek hai phr bhi.,Positive
Jasy bibi dafan hoi pata chala,Negative
+30 and agy faizan betha tha sir ,Neutral
American president John f Kennedy aur in ke bhai Robert Kennedy se bhi Marilyn Monroe ke affairs ka charcha raha,Negative
Kisi had tk yeh bat thik hai mgr mukamal tor py nhe qk insan ki apni ikhlaqi zimedari bh hoti hai,Neutral
Stuf kesa h icka,Neutral
Usay bata do keh amaan thori hai Reopen News ,Negative
Zehreely ap hen xochna apko hai 😊 ap nikammy hen ik pr ye chota xa kam xochny ka to ap kr hi xkty hen apny guthno pe zor de k 😊,Negative
In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Positive
Lemon s chera misaj krti ho toh red hota h,Neutral
SAB KAH DOO,Neutral
Mar hi jaawan yr soo cute sarah,Positive
 Barhti umer ke bawajood Hashim America aur Canada mein hone wale moqablon mein sur khuru rahe,Positive
Hatim sy boly gi wahan,Neutral
Un ka asal naam Nisar Ahmed Bazmi tha,Neutral
Kithe chali ae morni banke. Remember?,Negative
is ko zaroor dekha kare app ko haqeeqte dunya samjh ajaye ge,Positive
Mashallah quaid e muhtrum sada slamt rao,Positive
 1933 mein “ Sindh Sitara ” ke naam se apna roznama sukhur se jari kiya,Neutral
Ye follow nh kr rha unki khushyon m shamil hua h bs,Positive
Yahan hamari daastaan khatam hoti hai.,Neutral
Same to u 🤣🤣,Neutral
Hazrat ..najime hazrat nasimuddin bihari....ne muje ye amal bataya tha...jo unhone unke sekh ke intekal ke bad unhone istekhara kiya tha..ke hazrat ji inamul hasan sahab se bait hu...ya prapgadi rahmtullahi ali se....unko ..pratap gadi rahmatullahi ali ka jawab mila tha...,Neutral
Diesel,Neutral
"T-shirt kaafi achi thi aur experience iss dafah kaafi acha raha hai mera aur koi bhi shikayat nahi hai iss se kyunke jaisi maine ye picture mai dekhi thi, ye bilkul waisay he thi aur mjhe fitting mai bhi bilkul sahi hai aur iska stuff bhi kaafi acha hai aur color bhi acha hai.",Positive
Nope,Neutral
Kabhi aap dusro k lye Dil se dua mang kr dekho ,Positive
Ya ha jahalat,Negative
"Munir Hussain ke Solo Songs ki tadad 70 hai, jab ke in ke 2 songs ki tadad 161 hai, jo 74% banti hai",Neutral
" Ibrahim Ismail Chundrigar ne isi University se BA, LLB tak taleem hasil ki",Positive
Ap bht piyaire ho,Positive
 1950 ki dahai mein Khan family keg air mamooli karnamon ki badault Pakistan Squash ki dunia mein sare fahrist raha,Positive
Bss itni se?,Neutral
But ye to me apna btaya ...Y r u sad,Negative
Lol chori phr seena zori..?😡,Negative
AoAma pti say request karta hun k NA 126 par review karay plz Maher wajid is best candidate plzzz ye seat loose mat karo,Positive
1964 mein Mohibullah ne apne bare mein apne mamoon Hashim Khan ko do bare tournament ke final mein shikast di,Neutral
Apni shaiyri ke zamana-e-urooj mein Fauj mein Amirana rawish aur us ke siyasi kirdar ke khilaf sheyr kehne ke sabab kafi shohrat paai,Positive
log b hmari ghebt krte hon gy. hissab barabr 😂😂😂,Negative
Hahahaha yahan se JAEIN aur 150 maar aein ye b sun is ki baat,Negative
Ahahahahhahaha kha p k dakaaar b maaar li beta mne ,Negative
"Ami Ami is ki nae meri baat sune, and Ami be like ""mujhy nae pta abhi sulah bhi tm logn ki khudi ho jani hy""",Neutral
Jinho Ne Apni Jaano Per Zulum Kiya Woh ALLAH Ki Rehmat Se Maysu Na Ho ALLAH Sb Gunah Maf Krta Hai ,Positive
Best of luck,Neutral
 Undino Sri Lanka ki team Pakistan ka doure per aye thi,Neutral
Blkl theak kha bhai ap na,Positive
Senator Jahangir Badar taweel parlimani tajurbe ke hasil siyasat daan hai,Neutral
Ab Khayal Rakhna Apna ,Positive
" Is tarah inho ne sabit kiya ke won a sirf match winner player hain, ",Positive
Allah pak in ki umar daraz kare r in ka mithe mithe alfaz hamare iman ko barhate rahen,Positive
Thanks a lot sir ,Neutral
Good nwes,Positive
awa Bata hote h,Neutral
nae ab aesa b nae h,Neutral
Salman Khan ka filmi career nihayat shandar tasawor kiya jata hai,Positive
Ap humesah mera sath cahlakiyan krty hain....zayada cahlakiyan na kiya kry meray sath ap sub log...,Negative
Oily skin k liye b bht acha he,Positive
mubarak,Positive
toh hum apply kr skty?,Neutral
hahahaha this is truesir se extra marks bhi tw liye phir ,Positive
Buzurgon ki is nazar ka natija dekhiye ke donon hi geet Iqbal Bano ne gaye aur wo bhi amar ho gaein,Neutral
Bad qismati se Pakistan team ke leye un ka intikab na ho saka,Neutral
Abid Ali aur Humeira mein elahdgi ke bad Abid Ali ne Rabia Noreen se 2006 mein shadi ki thi,Negative
"Ludhiana club ki taraf se inho ne Lahore gym khana ke khilaf behtareen karkardegi ka muzahira karte hue Rameez Raja aur Intekhab Aalam samait 4 players ko out kiya, jis par inhe cricket board ke talent camp ke liye muntakhib kar liya gaya",Positive
 Yeh baat qabile zikar hai kay iss dauran unpar Pakistani adalton mein koi ilzam sabit na ho saka,Positive
Ji han,Neutral
Yaar mjhy us ny block kiya hua warna mai tag kr daita,Negative
Abey chal mun na khulwa : p nakamai tmhre kadam choom rai ha ab tak tou 👎🏻🤓,Negative
Aisa lagta hy Alahazrat see direct Faiz mil rha hy MashALLAH,Positive
Steven Spielberg bataur director 2 Oscar award hasil kar chuke hain,Neutral
Qatib e taqdeer sirf mera rub hy Os k elawa koi itni planned story likh he nahi Sakta.. Ye baat bilkul Theek hy k maa ulad se bohot pyr Karti hy aur Os k Leay kabhi bora nahi sochti but Allah 70 maaon se zayada pyr karta hy Apnay bundon se aur pyr main azmana Os ka huq.. Woh bhi tu chahta hy k Bunda Os ko batay K Bunda Os se Kitna pyr karta hy,Neutral
 BsC ki degree Rashid Minhas ne Peshawar University se February 1971 mein hasil ki,Neutral
"Nasir Iqbal: Main Bannu se squash kheelne wala phela khilari hun,",Positive
"Screen par un ke career ka aghaz 1982 mein film ""lookin to get out"" mein apne walid John Voight ke sath mukhtasir kirdar ke sath howa",Neutral
Shara,Neutral
Vo Jo aap ny kha Tha na k Sachi baat ki vo wali baat Mani Hai ,Positive
unhen boht zyada right lga hai :D,Neutral
Hukkam Notice Lein ,Neutral
Buhahaha Achaw likho gi kl,Neutral
tmara sabun to waqai slow ha ,Negative
Meri taqdeer me Massa Allah ek v gham nhi hai....q k mera taqdeer mera Allah likhta hai... Jo beshak meri Maa se 70 guna jada mohabbat krta hai mujhse... Ya Allah tera lakh lakh sukar hai,Positive
Eid kb hogy,Neutral
Roz Subah 2 Farishtay Utartay Hain Un Me Se Aik Sakhi K Liye Dua ,Positive
Oye insan ban ,Negative
K Apni Maa k Qadmo k Nishan Dhondh Raha Ho ,Positive
 Ye woh dour tha jab Khan brothers Gandhi ke qareeb aye Sait Jamnalal Bajaj ne unhein apne haan Warda aney ki dawat di,Neutral
